producto,old_price,current_price,url,stock
Apothecary: Plague Doctors (Pre-Order),,$30.00,https://gamersguildaz.com/products/apothecary-plague-doctors,Sí
burncycle: Ebbwall Expansion,,$29.95,https://gamersguildaz.com/products/burncycle-ebbwall-expansion,Sí
burncycle: Robophobia Expansion,,$14.95,https://gamersguildaz.com/products/copy-of-burncycle-ebbwall-expansion,Sí
burncycle: The Renegades Bot Pack,,$14.95,https://gamersguildaz.com/products/burncycle-the-renegades-bot-pack,Sí
Cloudspire: Horizon's Wrath – Faction Expansion,,$29.95,https://gamersguildaz.com/products/cloudspire-horizons-wrath-faction-expansion,Sí
Cloudspire: The Uprising Expansion,,$29.95,https://gamersguildaz.com/products/copy-of-cloudspire-the-uprising-expansion,Sí
Draft And Write Records,$32.00,$31.96,https://gamersguildaz.com/products/draft-and-write-records,Sí
Draft And Write Records: All Stars Expansion,$12.00,$10.20,https://gamersguildaz.com/products/draft-and-write-records-all-stars-expansion,Sí
Draft And Write Records: Chart Topper Bonus Tracks,$12.00,$10.20,https://gamersguildaz.com/products/draft-and-write-records-chart-topper-bonus-tracks,Sí
Monopoly: One Piece (Pre-Order),,$44.99,https://gamersguildaz.com/products/monopoly-one-piece,Sí
Puzzle Strike II,$69.99,$59.49,https://gamersguildaz.com/products/puzzle-strike-ii,Sí
Sentinels of the Multiverse (Definitive Edition) Foil Pack 2,$19.95,$16.95,https://gamersguildaz.com/products/sentinels-of-the-multiverse-definitive-edition-foil-pack-2,Sí
Sheep in Disguise,$19.99,$16.99,https://gamersguildaz.com/products/sheep-in-disguise,Sí
Summit: Sanity Expansion,$30.00,$27.00,https://gamersguildaz.com/products/summit-sanity,Sí
Time's Up! Family Edition,$19.99,$16.99,https://gamersguildaz.com/products/times-up-family-edition,Sí
1001 Islands,$29.99,$29.56,https://gamersguildaz.com/products/1001-islands,Sí
"1066, Tears to Many Mothers",$50.00,$39.94,https://gamersguildaz.com/products/1066-tears-to-many-mothers,Sí
13 Clues,$34.99,$29.96,https://gamersguildaz.com/products/13-clues,Sí
13 Words,$19.99,$15.96,https://gamersguildaz.com/products/13-words,Sí
15 Men,,$19.39,https://gamersguildaz.com/products/15-men-pendragon,Sí
1565 St. Elmo's Pay,$50.00,$33.55,https://gamersguildaz.com/products/1565-st-elmos-pay,Sí
16 Candies (Pre-Order),$14.99,$11.96,https://gamersguildaz.com/products/16-candies-pre-order,Sí
18 Holes (2nd Edition),$59.99,$46.76,https://gamersguildaz.com/products/18-holes-2nd-edition,Sí
18 Holes: Course Architects,$29.99,$21.96,https://gamersguildaz.com/products/18-holes-course-architects,Sí
1880: China,$74.99,$48.48,https://gamersguildaz.com/products/1880-china,Sí
2 Minute Dino Deal,$14.99,$12.74,https://gamersguildaz.com/products/2-minute-dino-deal,Sí
20 Strong: Hoplomachus Victorum,,$20.00,https://gamersguildaz.com/products/20-strong-hoplomachus-victorum,Sí
20 Strong: Solar Sentinels,,$30.00,https://gamersguildaz.com/products/20-strong-solar-sentinels,Sí
20 Strong: Too Many Bones Expansion,,$20.00,https://gamersguildaz.com/products/20-strong-too-many-bones-expansion,Sí
3 Ring Circus,$39.99,$38.33,https://gamersguildaz.com/products/3-ring-circus,Sí
"3,000 Scoundrels",$49.95,$39.96,https://gamersguildaz.com/products/3-000-scoundrels,Sí
3000 Scoundrels: Double or Nothing Expansion,$34.95,$27.96,https://gamersguildaz.com/products/3000-scoundrels-double-or-nothing-expansion,Sí
5 Towers,$14.99,$12.74,https://gamersguildaz.com/products/5-towers,Sí
5 Wards,$45.00,$38.25,https://gamersguildaz.com/products/5-wards,Sí
5211- Azul Edition,$12.99,$10.96,https://gamersguildaz.com/products/5211-azul-edition,Sí
7 Wonders,$59.99,$47.99,https://gamersguildaz.com/products/7-wonders-new-edition-repos-production,Sí
7 Wonders Architects,$49.99,$39.99,https://gamersguildaz.com/products/7-wonders-architects,Sí
7 Wonders Armada (New Edition),$39.99,$25.85,https://gamersguildaz.com/products/7-wonders-armada-new-edition-repos-production,Sí
7 Wonders Cities (New Edition),,$31.92,https://gamersguildaz.com/products/7-wonders-cities-new-edition-repos-production,Sí
7 Wonders Leaders (New Edition),,$24.38,https://gamersguildaz.com/products/7-wonders-leaders-new-edition-repos-production,Sí
7 Wonders: Duel,$34.99,$27.99,https://gamersguildaz.com/products/7-wonders-duel-repos-production,Sí
7 Wonders: Duel - Agora,,$18.96,https://gamersguildaz.com/products/7-wonders-duel-agora-repos-production,Sí
7 Wonders: Edifice,$29.99,$23.99,https://gamersguildaz.com/products/7-wonders-edifice,Sí
7: The Sins,$24.99,$17.44,https://gamersguildaz.com/products/7-the-sins,Sí
8-Bit Attack,$29.99,$29.96,https://gamersguildaz.com/products/8-bit-attack,Sí
8-Bit Attack: Yog-Sothothery,$11.99,$10.19,https://gamersguildaz.com/products/8-bit-attack-yog-sothothery,Sí
9 Lives,$20.00,$16.00,https://gamersguildaz.com/products/9-lives,Sí
A Bard Day's Night,,$25.99,https://gamersguildaz.com/products/a-bard-days-night,Sí
A Battle Through History: An Adventure with Sabaton,$59.99,$40.26,https://gamersguildaz.com/products/a-battle-through-history-an-adventure-with-sabaton,Sí
A Christmas Karen,$9.99,$8.49,https://gamersguildaz.com/products/a-christmas-karen,Sí
A Column of Fire: The Game,$59.95,$40.26,https://gamersguildaz.com/products/a-column-of-fire-the-game,Sí
A Fistful of Daisies,$24.99,$23.96,https://gamersguildaz.com/products/a-fistful-of-daisies,Sí
A Game of Thrones: The Board Game (Second Edition),$64.95,$51.96,https://gamersguildaz.com/products/a-game-of-thrones-boardgame-2nd-edition-fantasy-flight-games,Sí
A Goofy Movie Game,,$28.97,https://gamersguildaz.com/products/a-goofy-movie-game,Sí
A la Carte: Dessert (Pre-Order),$24.99,$18.74,https://gamersguildaz.com/products/a-la-carte-dessert,Sí
