producto,old_price,current_price,url,stock,descuento
Compounded: Premium Element Tray,39.95,3.95,https://gamersguildaz.com/products/compounded-premium-element-tray,Sí,0.9011264080100124
Disney Sorcerers Arena: Epic Alliances: Turning the Tides Expansion,45.0,18.3,https://gamersguildaz.com/products/disney-sorcerers-arena-epic-alliances-turning-the-tides-expansion,Sí,0.5933333333333333
Disney Sorcerers Arena: Epic Alliances: Thrills & Chills Expansion,45.0,18.3,https://gamersguildaz.com/products/disney-sorcerers-arena-epic-alliances-thrills-chills-expansion,Sí,0.5933333333333333
Disney Sorcerers Arena: Epic Alliances: Core Set,90.0,36.6,https://gamersguildaz.com/products/disney-sorcerers-arena-epic-alliances-core-set,Sí,0.5933333333333333
Prime Minister,75.0,35.06,https://gamersguildaz.com/products/prime-minister,No,0.5325333333333333
Clearance Dragon Ball Super TCG: Premium Anniversary Box 2023,99.99,46.99,https://gamersguildaz.com/products/dragon-ball-super-tcg-premium-fighter-box-2023-be23-pre-order,Sí,0.53005300530053
Gloomhaven: Jaws of the Lion,49.99,24.4,https://gamersguildaz.com/products/gloomhaven-jaws-of-the-lion-board-games,No,0.5119023804760953
Munchkin Dungeon: Board Silly,39.99,19.95,https://gamersguildaz.com/products/munchkin-dungeon-board-silly-cmon,Sí,0.5011252813203301
Hero Realms: Ancestry,12.0,6.1,https://gamersguildaz.com/products/hero-realms-ancestry,Sí,0.4916666666666667
Epic Card Game,17.99,9.15,https://gamersguildaz.com/products/epic-card-game-base-game,Sí,0.49138410227904383
Deadly Dinner: Red Carpet in Ruins,44.99,23.49,https://gamersguildaz.com/products/deadly-dinner-red-carpet-in-ruins,Sí,0.4778839742164926
D&D Onslaught: Red Wizards - Expansion 1,59.99,31.56,https://gamersguildaz.com/products/d-d-onslaught-red-wizards-expansion-1,Sí,0.4739123187197867
Street Fighter the Miniatures Game: Red Battle Dice,18.0,9.54,https://gamersguildaz.com/products/street-fighter-the-miniatures-game-red-battle-dice,No,0.47000000000000003
Codenames: Disney,24.99,13.73,https://gamersguildaz.com/products/codenames-disney,No,0.4505802320928371
Mansions of Madness: Streets of Arkham,69.99,38.76,https://gamersguildaz.com/products/mansions-of-madness-streets-of-arkham-fantasy-flight-games,Sí,0.44620660094299186
Godtear: Eternal Glade Starter Set,54.95,30.46,https://gamersguildaz.com/products/godtear-eternal-glade-starter-set,No,0.4456778889899909
Horizon Zero Dawn: The Board Game - The Thunderjaw Expansion,69.95,39.92,https://gamersguildaz.com/products/horizon-zero-dawn-the-board-game-the-thunderjaw-expansion,Sí,0.42930664760543247
Cosmic Encounter: Duel,44.99,25.83,https://gamersguildaz.com/products/cosmic-encounter-duel-fantasy-flight-games,No,0.42587241609246507
Dice Realms,139.99,80.52,https://gamersguildaz.com/products/copy-of-7-wonders,Sí,0.4248160582898779
Mountains Out of Molehills,39.99,23.27,https://gamersguildaz.com/products/mountains-out-of-molehills,Sí,0.4181045261315329
Mansions of Madness: Horrific Journeys,69.99,40.96,https://gamersguildaz.com/products/mansions-of-madness-horrific-journeys-fantasy-flight-games,Sí,0.4147735390770109
Mansions of Madness: Beyond the Threshold,32.99,19.36,https://gamersguildaz.com/products/mansions-of-madness-beyond-the-threshol-fantasy-flight-games,Sí,0.4131555016671719
Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre,35.0,20.92,https://gamersguildaz.com/products/epic-spell-wars-duel-at-mt-skullzfyre-board-games,No,0.40228571428571425
CloudAge,59.95,35.84,https://gamersguildaz.com/products/cloudage,Sí,0.4021684737281067
Underwater Cities,74.95,44.81,https://gamersguildaz.com/products/underwater-cities,No,0.4021347565043362
Chronicles of Crime,39.99,23.91,https://gamersguildaz.com/products/chronicles-of-crime,Sí,0.40210052513128286
Codenames: Marvel,24.99,14.96,https://gamersguildaz.com/products/codenames-marvel,No,0.401360544217687
Horizon Zero Dawn: The Board Game - The Rockbreaker Expansion,59.95,35.92,https://gamersguildaz.com/products/horizon-zero-dawn-the-board-game-the-rockbreaker-expansion,Sí,0.40083402835696413
Great Western Trail: Rails to the North (First Edition),34.99,21.0,https://gamersguildaz.com/products/great-western-trail-rails-to-the-north-1st-edition,No,0.39982852243498146
Cosmic Encounter: Cosmic Storm,27.99,16.96,https://gamersguildaz.com/products/cosmic-storm-fantasy-flight-games,Sí,0.39406931046802424
Dog Park: New Tricks (Pre-Order),34.99,21.25,https://gamersguildaz.com/products/dog-park-new-tricks-pre-order,Sí,0.39268362389254075
Clinic: Deluxe Edition - Campaign Book,14.95,9.11,https://gamersguildaz.com/products/clinic-deluxe-edition-campaign-book,Sí,0.3906354515050167
Clinic: Deluxe Edition - 5th Extension,24.95,15.21,https://gamersguildaz.com/products/clinic-deluxe-edition-5th-extension,Sí,0.390380761523046
That Time You Killed Me,49.99,30.48,https://gamersguildaz.com/products/that-time-you-killed-me,Sí,0.3902780556111222
